弾き語り曲りすと - database
Songs,Artists,キー,ジャンル(?),出てる作品
Santa Tell Me,Ariana Grande,0,洋楽,
How Far I'll go,Auliʻi Cravalho,0,洋楽,Moana
Complicated,Avril Lavigne,0,洋楽,
Girlfriend,Avril Lavigne,0,洋楽,
高嶺の花子さん,back number,0,J-POP,
瞬き,back number,0,J-POP,
水平線,back number,2,J-POP,
クリスマスソング,back number,0,J-POP,
Beautiful things,Benson Boone,0,洋楽,
Magbalik,Callilay,4,日 英以外,
Biblical ,Calum Scott,0,洋楽,
You Are the Reason,Calum Scott,0,洋楽,
No Matter What,Calum Scott,0,洋楽,
Call Me Maybe,Carly Rae Jepsen,0,洋楽,
One Call Away,Charlie Puth,0,洋楽,
グッバイ宣言,Chinozo,0,ボカロ,
Sky Full of Stars,Coldplay,0,洋楽,SING
Defying gravity,Cynthia Erivo,0,"洋楽, ミュージカル",
ゴーストルール,DECO*27,-3,ボカロ,
モニタリング,DECO*27,0,ボカロ,
ヒバナ,DECO*27,0,ボカロ,
妄想感傷代償連盟,DECO*27,0,ボカロ,
ヴァンパイア,DECO*27,0,ボカロ,
乙女解剖,DECO*27,0,ボカロ,
ハッピーシンセサイザ,EasyPop feat.巡音ルカ・GUMI,0,ボカロ,
Afterglow,Ed Sheeran,0,洋楽,
Castle on the Hill,Ed Sheeran,0,洋楽,
Perfect,Ed Sheeran,4,洋楽,
Photograph,Ed Sheeran,-2,洋楽,
Bad Habit,Ed Sheeran,0,洋楽,
Shivers,Ed Sheeran,0,洋楽,
Galway Girl,Ed Sheeran,0,洋楽,
Thinking Out Loud,Ed Sheeran,-1,洋楽,
Happier,Ed Sheeran,,洋楽,
Supermarket flowers,Ed Sheeran,5,洋楽,
心做し,GUMI,-2,ボカロ,
366日,H.Y.,0,J-POP,
Satisfied,Hamilton,0,"洋楽, ミュージカル",
Wait for it,Hamilton,0,"洋楽, ミュージカル",
First burn,Hamilton,0,"洋楽, ミュージカル",
TIGER,HANA,0,J-POP,
Blue Jeans,HANA,0,J-POP,
ROSE,HANA,0,J-POP,
Bad Girl,HANA,0,J-POP,
NON STOP,HANA,0,J-POP,
Drop,HANA,0,J-POP,
Burning Flower,HANA,0,J-POP,
Let it go,Idina Menzel,0,"洋楽, ディズニー",Frozen
For The First Time in Forever,Idina Menzel and Kristen Bell,0,"洋楽, ディズニー",Frozen
Bones,Imagine Dragons,0,洋楽,
Believer,Imagine Dragons,0,洋楽,
Enemy,Imagine Dragons,0,洋楽,
Thunder,Imagine Dragons,0,洋楽,
夏夜のマジック,indigo la End,,,
Part of Your World,Jodi Benson,,ディズニー,The Little Mermaid
EYE,Kanaria,,ボカロ,
酔いどれ知らず,Kanaria,,ボカロ,
KING,Kanaria,,ボカロ,
Fireworks,Katy Perry,,洋楽,
Roar,Katy Perry,,洋楽,
Last Friday Night,Katy Perry,,洋楽,
Dark Horse,Katy Perry,,洋楽,
六兆年と一夜物語,kemu,,ボカロ,
愛して愛して愛して,kikuo,,ボカロ,
白日,King Gnu,,J-POP,
Love Is An Open Door,Kristen Bell and Santino Fontana,,"ディズニー, 洋楽",Frozen
You say ,Lauren Daigle,2,洋楽,
Paris in the rain,Lauv,,洋楽,
どうでもいい話がしたい,Leina,,J-POP,
炎,Lisa,,J-POP,
Good as Hell,Lizzo,,洋楽,
おジャ魔女カーニバル,MAHO堂,,アニメ,おジャ魔女どれみ
I see the light,"Mandy Moore, Zachary Levi",,ディズニー,Tangled
Classic,MKTO,,洋楽,
ケセラセラ,Mrs. Green Apple,,J-POP,
ダンスホール,Mrs. Green Apple,,J-POP,
ナハトムジーク,Mrs. Green Apple,,J-POP,
春愁,Mrs. Green Apple ,3,J-POP,
点描の唄,Mrs. Green Apple ,,J-POP,
僕のこと,Mrs. Green Apple ,,J-POP,
Soranji,Mrs. Green Apple ,,J-POP,
芝居,My hair is bad,,J-POP,
恋人ができたんだ,My hair is bad,,J-POP,
真赤,My hair is bad,,J-POP,
魔法,Myuk,,J-POP,
夜明けと蛍,n-buna feat.初音ミク,3,ボカロ,
ウミユリ海底譚,n-buna feat.初音ミク,3,ボカロ,
ラプンツェル,n-buna feat.初音ミク,4,ボカロ,
ツキミソウ,Novelbright,,J-POP,
ノーダウト,Official髭男dism,,J-POP,
I Love...,Official髭男dism,,J-POP,
Pretender,Official髭男dism,,J-POP,
Subtitle,Official髭男dism,,J-POP,
Yesterday,Official髭男dism,,J-POP,
宿命,Official髭男dism,,J-POP,
Universe,Official髭男dism,,J-POP,
One way ticket,ONE OK ROCK,,J-POP,
Heartache,ONE OK ROCK,,J-POP,
Liar,ONE OK ROCK,,J-POP,
Broken Heart of Gold,ONE OK ROCK,,J-POP,
Renegades,ONE OK ROCK,,J-POP,
We Are,ONE OK ROCK,,J-POP,
Wasted Nights,ONE OK ROCK,,J-POP,
Stand Out Fit In,ONE OK ROCK,,J-POP,
The Beginning,ONE OK ROCK,,J-POP,
回る空うさぎ,Orangestar,,ボカロ,
Fireflies,Owlcity,,洋楽,
Goodtime,Owlcity,,洋楽,
High Hopes,Panic! At The Disco,,洋楽,
flos,R Sound Design,,ボカロ,
帝国少女,R Sound Design,,ボカロ,
Fight Song,Rachel Platten,,洋楽,
そっけない,RADWIMPS,4,J-POP,
鋼の羽,RADWIMPS,,J-POP,
スパークル,RADWIMPS,,J-POP,
前前前世,RADWIMPS,,J-POP,
いいんですか？,RADWIMPS,,J-POP,
なんでもないや,RADWIMPS,,J-POP,
me me she ,RADWIMPS,4,J-POP,
おしゃかしゃま,RADWIMPS,4,J-POP,
For the lover that I lost,Sam Smith,,洋楽,
To die for,Sam Smith,,洋楽,
Fire on fire,Sam Smith,,洋楽,
Too good at goodbyes,Sam Smith,,洋楽,
Stay with me,Sam Smith,,洋楽,
I'm not the only one,Sam Smith,,洋楽,
ルカルカ★ナイトフィーバー,SAM(samfree),,ボカロ,
Set it all free,Scarlett Johansson,,洋楽,
眠り姫,SEKAI NO OWARI,,洋楽,
Lose You To Love Me,Selena Gomez,,洋楽,
Back To You,Selena Gomez,,洋楽,
Zoo,Shakira,,"洋楽, ディズニー",Zootopia
Try Everything,Shakira,,"洋楽, ディズニー",Zootopia
Way Back Home,Shaun,,日英以外,
Chandelier,Sia,,洋楽,
メリールー,SIX LOUNGE ,3,J-POP,
メルト,supercell feat.初音ミク,,ボカロ,
W/X/Y,Tani Yuuki,4,J-POP,
I'm Still Standing,Taron Egerton,,洋楽,SING
Betterman,Taylor Swift,-1,洋楽,
All too well,Taylor Swift,,洋楽,
Enchanted,Taylor Swift,,洋楽,
White horse,Taylor Swift,,洋楽,
We are never ever getting back together,Taylor Swift,,洋楽,
Everything has changed,Taylor Swift,,洋楽,
Hey Stephen,Taylor Swift,,洋楽,
Anti-Hero,Taylor Swift,,洋楽,
tolerate it ,Taylor Swift,,洋楽,
Daylight,Taylor Swift,,洋楽,
Shake it off,Taylor Swift,,洋楽,
Cruel Summer,Taylor Swift,,洋楽,
22,Taylor Swift,,洋楽,
unravel,TK from 凛として時雨,,J-POP,
superball ,TOMOO,,J-POP,
Don't You Worry 'Bout a Thing,Tori Kelly,,洋楽,SING
晩餐歌,tuki.,,J-POP,
最低界隈,tuki.,,J-POP,
プロローグ,Uru,,J-POP,
あなたがいることで,Uru,,J-POP,
世界の秘密,Vaundy,2,J-POP,
東京フラッシュ,Vaundy,,J-POP,
Napori,Vaundy,4,J-POP,
裸の勇者,Vaundy,,J-POP,
踊り子,Vaundy,,J-POP,
灯火,Vaundy,,J-POP,
怪獣の花唄,Vaundy,,J-POP,
不可幸力,Vaundy,,J-POP,
Bye bye me,Vaundy,,J-POP,
恋だろ,Wacci,3,J-POP,
別の人の彼女になったよ,Wacci,5,J-POP,
千本桜,WhiteFlame feat.初音ミク,,ボカロ,
夜に駆ける,YOASOBI,,J-POP,
アイドル,YOASOBI,,J-POP,
A Whole New World,Zayn and Zhavia Ward,,ディズニー,Aladdin
死にたい夜にかぎって,アイナ・ジ・エンド,2,J-POP,
革命道中,アイナ•ジ・エンド,,J-POP,
愛を伝えたいだとか,あいみょん,,J-POP,
マリーゴールド,あいみょん,,J-POP,
裸の心,あいみょん,,J-POP,
ハルノヒ,あいみょん,,J-POP,
君はロックを聴かない,あいみょん,,J-POP,
桜が降る夜は,あいみょん,,J-POP,
貴方解剖純愛歌〜死ね〜,あいみょん,,J-POP,
ハート,あいみょん,-2,J-POP,
愛の花,あいみょん,,J-POP,
10月無口な君を忘れる,あたらよ,,J-POP,
好きにさせたくせに。,あれくん,,J-POP,
ばーか。,あれくん,,J-POP,
手紙〜拝啓十五の君へ〜,アンジェラ・アキ,,J-POP,
キンモクセイ,オレンジスパイニクラブ,3,J-POP,
ベノム,かいりきベア,,ボカロ,
あの夏が飽和する,カンザキイオリ,-2,ボカロ,
命に嫌われている,カンザキイオリ,-3,ボカロ,
イノチミジカシコイセヨオトメ,クリープハイプ,,J-POP,
二十九、三十,クリープハイプ,,J-POP,
exダーリン,クリープハイプ,,J-POP,
おやすみ泣き声、さよなら歌姫,クリープハイプ,,J-POP,
憂、燦々,クリープハイプ,,J-POP,
死ぬな!,こっちのけんと,,J-POP,
たばこ,コレサワ,,J-POP,
恋人失格,コレサワ,,J-POP,
怪獣,サカナクション,,J-POP,
サマータイムレコード,じん(自然のてきP) feat.IA,-2,ボカロ,
秒針を噛む,ずっと真夜中でいいのに。,,J-POP,
美しい鰭,スピッツ,2,J-POP,
エゴロック,すりぃ,,J-POP,
ジャンキーナイトタウンオーケストラ,すりぃ,3,ボカロ,
テレキャスタービーボーイ,すりぃ,,ボカロ,
ラヴィ,すりぃ,,ボカロ,
B級,ちゃんみな,,J-POP,
美人,ちゃんみな,,J-POP,
SAD SONG,ちゃんみな,,J-POP,
ダリア,ちゃんみな,,J-POP,
Never Grow Up,ちゃんみな,,J-POP,
TOKYO 4AM,ちゃんみな,,J-POP,
Pain is Beauty,ちゃんみな,,J-POP,
I'm Not OK,ちゃんみな,,J-POP,
ハレンチ,ちゃんみな,,J-POP,
花火,ちゃんみな,,J-POP,
ヴィラン,てにをは feat.flower,-3,ボカロ,
デリヘル呼んだら君が来た,ナナホシ管弦楽団,,ボカロ,
エイリアンエイリアン,ナユタン星人,,ボカロ,
ワンルーム,にしな,-2,J-POP,
ヘビースモーカー,にしな,,J-POP,
命ばっかり,ぬゆり,,ボカロ,
フィクサー,ぬゆり,,ボカロ,
右肩の蝶,のりぴー feat.鏡音レン,,ボカロ,
パンダヒーロー,ハチ,,ボカロ,
砂の惑星,ハチ feat.初音ミク,,ボカロ,
シャルル,バルーン,,ボカロ,
雨とペトラ,バルーン,,ボカロ,
悪魔の子,ヒグチアイ,-2,J-POP,
ガランド,ピコン,3,ボカロ,
神っぽいな,ピノキオピー,4,ボカロ,
ノンブレス・オブリージュ,ピノキオピー,,ボカロ,
ブルーベリー・ナイツ,マカロニえんぴつ,,J-POP,
なんでもないよ、,マカロニえんぴつ,,J-POP,
少女レイ,みきとP,,ボカロ,
ロキ,みきとP,,ボカロ,
いーあるふぁんくらぶ,みきとP,,ボカロ,
妄想疾患闇ガール ,もじゃ,,ボカロ,
本当はね、,ヤングスキニー,,J-POP,
強風オールバック,ゆこぴ,,ボカロ,
夜行,ヨルシカ,,J-POP,
春泥棒,ヨルシカ,,J-POP,
風を食む,ヨルシカ,,J-POP,
だから僕は音楽をやめた,ヨルシカ,-1,J-POP,
嘘月,ヨルシカ,,J-POP,
ブレーメン,ヨルシカ,,J-POP,
老人と海,ヨルシカ,,J-POP,
又三郎,ヨルシカ,,J-POP,
テレパス,ヨルシカ,,J-POP,
花に亡霊,ヨルシカ,,J-POP,
都落ち,ヨルシカ,,J-POP,
ただ君に晴れ,ヨルシカ,,J-POP,
あぶく,ヨルシカ,,"J-POP, アニメ",
斜陽,ヨルシカ,,J-POP,
言って。,ヨルシカ,,J-POP,
雨とカプチーノ,ヨルシカ,,J-POP,
ヒッチコック,ヨルシカ,,J-POP,
春ひさぎ,ヨルシカ,,J-POP,
晴る,ヨルシカ,,J-POP,
爆弾魔,ヨルシカ,,J-POP,
パレード,ヨルシカ,,J-POP,
アポリア,ヨルシカ,,J-POP,
チノカテ,ヨルシカ,,J-POP,
左右盲,ヨルシカ,,J-POP,
ノーチラス,ヨルシカ,,J-POP,
ルバート,ヨルシカ,,J-POP,
昼鳶,ヨルシカ,,J-POP,
アルジャーノン,ヨルシカ,,J-POP,
藍二乗,ヨルシカ,,J-POP,
思想犯,ヨルシカ,,J-POP,
火星人,ヨルシカ,,J-POP,
忘れてください,ヨルシカ,,J-POP,
オノマトペ,りりあ。,,J-POP,
浮気されたけどまだ好きって曲。,りりあ。,,J-POP,
脳漿炸裂ガール,れるりり feat.初音ミク&GUMI,,ボカロ,
三時のキス,ロクデナシ,,J-POP,
僕が死のうと思ったのは。,中島美嘉,,J-POP,
貴方の夜が明けるまで,傘村トータ,,ボカロ,
贖罪,傘村トータ,,ボカロ,
ドライフラワー,優里,,J-POP,
かくれんぼ,優里,,J-POP,
ベテルギウス,優里,,J-POP,
ピーターパン,優里,3,J-POP,
プロポーズ,内緒のピアス,-6,ボカロ,
寄り酔い,和ぬか,,J-POP,
ニア,夏代孝明,4,ボカロ,
ドラえもんのうた,大杉久美子,,"アニメ, J-POP",ドラえもん
のだ,大漠波新,,ボカロ,
はなびら,奥華子,,J-POP,
メフィスト,女王蜂,,J-POP,
First Love,宇多田ヒカル,,J-POP,
I LOVE YOU,尾崎豊,,J-POP,
魔法の絨毯,川崎鷹也,4,J-POP,
色は匂えど散りぬるを,幽閉サテライト,,J-POP,
明日への手紙,手嶋葵,,J-POP,
東京,手嶋葵,,J-POP,
オトナブルー,新しい学校のリーダーズ,,J-POP,
Stellar Stellar,星街すいせい,,J-POP,
高音厨音域テスト,木村わいP feat.初音ミク,,ボカロ,
中央フリーウェイ,松任谷由実,,J-POP,
ラブカ,柊キライ feat.flower,,ボカロ,
マーシャルマキシマイザー,柊マグネタイト,-4,ボカロ,
テトリス,柊マグネタイト,,ボカロ,
ベサメムーチョ,桂銀淑,,演歌・歌謡曲,
丸の内サディスティック,椎名林檎,,J-POP,
大迷惑星。,泣き虫,,J-POP,
Curtain call,清水翔太 feat. Taka,2,J-POP,
紗痲,煮ル果実,,ボカロ,
夜永歌,神はサイコロを振らない,2,J-POP,
ひまわりの約束,秦基博,3,J-POP,
鱗,秦基博,2,J-POP,
運命開花,空白ごっこ,,J-POP,
アイネクライネ,米津玄師,4,J-POP,
春雷,米津玄師,4,J-POP,
KICKBACK,米津玄師,3,"J-POP, アニメ",
Pale Blue,米津玄師,,J-POP,
LOSER,米津玄師,4,J-POP,
BOW AND ARROW ,米津玄師,4,"J-POP, アニメ",
IRIS OUT,米津玄師,,"J-POP, アニメ",
パプリカ,米津玄師,,J-POP,
main actor,美波,-2,J-POP,
カワキヲアメク,美波,,"J-POP, アニメ",
ライラック,美波,,J-POP,
Prologue,美波,,J-POP,
虹,菅田将暉,2,"J-POP, アニメ",
ダーリン,須田景凪,,J-POP,
残酷な天使のテーゼ,高橋洋子,,"J-POP, アニメ",
